盐湖区,盐湖
临猗县,临猗
万荣县,万荣
闻喜县,闻喜
稷山县,稷山
新绛县,新绛
绛县,绛
垣曲县,垣曲
夏县,夏
平陆县,平陆
芮城县,芮城
永济市,永济
河津市,河津
忻府区,忻府
定襄县,定襄
五台县,五台
代县,代
繁峙县,繁峙
宁武县,宁武
静乐县,静乐
神池县,神池
五寨县,五寨
岢岚县,岢岚
河曲县,河曲
保德县,保德
偏关县,偏关
原平市,原平
尧都区,尧都
曲沃县,曲沃
翼城县,翼城
襄汾县,襄汾
洪洞县,洪洞
古县,古
安泽县,安泽
浮山县,浮山
吉县,吉
乡宁县,乡宁
大宁县,大宁
隰县,隰
永和县,永和
蒲县,蒲
汾西县,汾西
侯马市,侯马
霍州市,霍州
离石区,离石
文水县,文水
交城县,交城
兴县,兴
临县,临
柳林县,柳林
石楼县,石楼
岚县,岚
方山县,方山
中阳县,中阳
交口县,交口
孝义市,孝义
汾阳市,汾阳
新城区,新城
回民区,回民
玉泉区,玉泉
赛罕区,赛罕
土默特左旗,土默特左
托克托县,托克托
和林格尔县,和林格尔
清水河县,清水河
武川县,武川
东河区,东河
昆都仑区,昆都仑
青山区,青山
石拐区,石拐
白云鄂博矿区,白云鄂博
九原区,九原
土默特右旗,土默特右
固阳县,固阳
达尔罕茂明安联合旗,达尔罕茂明安
海勃湾区,海勃湾
海南区,海南
乌达区,乌达
红山区,红山
元宝山区,元宝山
松山区,松山
阿鲁科尔沁旗,阿鲁科尔沁
巴林左旗,巴林左
巴林右旗,巴林右
林西县,林西
克什克腾旗,克什克腾
翁牛特旗,翁牛特
喀喇沁旗,喀喇沁
宁城县,宁城
敖汉旗,敖汉
科尔沁区,科尔沁
科尔沁左翼中旗,科尔沁左翼中
科尔沁左翼后旗,科尔沁左翼后
开鲁县,开鲁
库伦旗,库伦
奈曼旗,奈曼
扎鲁特旗,扎鲁特
霍林郭勒市,霍林郭勒
东胜区,东胜
康巴什区,康巴什
达拉特旗,达拉特
准格尔旗,准格尔
鄂托克前旗,鄂托克前
鄂托克旗,鄂托克
杭锦旗,杭锦
乌审旗,乌审
伊金霍洛旗,伊金霍洛
海拉尔区,海拉尔
扎赉诺尔区,扎赉诺尔
阿荣旗,阿荣
莫力达瓦达斡尔族自治旗,莫力达瓦
鄂伦春自治旗,鄂伦春
鄂温克族自治旗,鄂温克族
陈巴尔虎旗,陈巴尔虎
新巴尔虎左旗,新巴尔虎左
新巴尔虎右旗,新巴尔虎右
满洲里市,满洲里
牙克石市,牙克石
扎兰屯市,扎兰屯
额尔古纳市,额尔古纳
根河市,根河
临河区,临河
五原县,五原
磴口县,磴口
乌拉特前旗,乌拉特前
乌拉特中旗,乌拉特中
乌拉特后旗,乌拉特后
杭锦后旗,杭锦后
集宁区,集宁
卓资县,卓资
化德县,化德
商都县,商都
兴和县,兴和
凉城县,凉城
察哈尔右翼前旗,察哈尔右翼前
察哈尔右翼中旗,察哈尔右翼中
察哈尔右翼后旗,察哈尔右翼后
四子王旗,四子王
丰镇市,丰镇
乌兰浩特市,乌兰浩特
阿尔山市,阿尔山
科尔沁右翼前旗,科尔沁右翼前
科尔沁右翼中旗,科尔沁右翼中
扎赉特旗,扎赉特
突泉县,突泉
二连浩特市,二连浩特
锡林浩特市,锡林浩特
阿巴嘎旗,阿巴嘎
苏尼特左旗,苏尼特左
苏尼特右旗,苏尼特右
东乌珠穆沁旗,东乌珠穆沁
西乌珠穆沁旗,西乌珠穆沁
太仆寺旗,太仆寺
镶黄旗,镶黄
正镶白旗,正镶白
正蓝旗,正蓝
多伦县,多伦
阿拉善左旗,阿拉善左
阿拉善右旗,阿拉善右
额济纳旗,额济纳
和平区,和平
沈河区,沈河
大东区,大东
皇姑区,皇姑
铁西区,铁西
苏家屯区,苏家屯
浑南区,浑南
沈北新区,沈北
于洪区,于洪
辽中区,辽中
康平县,康平
法库县,法库
新民市,新民
中山区,中山
西岗区,西岗
沙河口区,沙河口
甘井子区,甘井子
旅顺口区,旅顺口
金州区,金州
普兰店区,普兰店
长海县,长海
瓦房店市,瓦房店
庄河市,庄河
铁东区,铁东
铁西区,铁西
立山区,立山
千山区,千山
台安县,台安
岫岩满族自治县,岫岩
海城市,海城
新抚区,新抚
东洲区,东洲
望花区,望花
顺城区,顺城
抚顺县,抚顺
新宾满族自治县,新宾
清原满族自治县,清原
平山区,平山
溪湖区,溪湖
明山区,明山
南芬区,南芬
本溪满族自治县,本溪
桓仁满族自治县,桓仁
元宝区,元宝
振兴区,振兴
振安区,振安
宽甸满族自治县,宽甸
东港市,东港
凤城市,凤城
古塔区,古塔
凌河区,凌河
太和区,太和
黑山县,黑山
义县,义
凌海市,凌海
北镇市,北镇
站前区,站前
西市区,西市
鲅鱼圈区,鲅鱼圈
老边区,老边
盖州市,盖州
大石桥市,大石桥
海州区,海州
新邱区,新邱
太平区,太平
清河门区,清河门
细河区,细河
阜新蒙古族自治县,阜新
彰武县,彰武
白塔区,白塔
文圣区,文圣
宏伟区,宏伟
弓长岭区,弓长岭
太子河区,太子河
辽阳县,辽阳
灯塔市,灯塔
双台子区,双台子
兴隆台区,兴隆台
大洼区,大洼
盘山县,盘山
银州区,银州
清河区,清河
铁岭县,铁岭
西丰县,西丰
昌图县,昌图
调兵山市,调兵山
开原市,开原
双塔区,双塔
龙城区,龙城
朝阳县,朝阳
建平县,建平
喀喇沁左翼蒙古族自治县,喀喇沁左翼
北票市,北票
凌源市,凌源
连山区,连山
龙港区,龙港
南票区,南票
绥中县,绥中
建昌县,建昌
兴城市,兴城
南关区,南关
宽城区,宽城
朝阳区,朝阳
二道区,二道
绿园区,绿园
双阳区,双阳
九台区,九台
农安县,农安
榆树市,榆树
德惠市,德惠
公主岭市,公主岭
昌邑区,昌邑
龙潭区,龙潭
船营区,船营
丰满区,丰满
永吉县,永吉
蛟河市,蛟河
桦甸市,桦甸
舒兰市,舒兰
磐石市,磐石
铁西区,铁西
铁东区,铁东
梨树县,梨树
伊通满族自治县,伊通
双辽市,双辽
龙山区,龙山
西安区,西安
东丰县,东丰
东辽县,东辽
东昌区,东昌
二道江区,二道江
通化县,通化
辉南县,辉南
柳河县,柳河
梅河口市,梅河口
集安市,集安
浑江区,浑江
江源区,江源
抚松县,抚松
靖宇县,靖宇
长白朝鲜族自治县,长白
临江市,临江
宁江区,宁江
前郭尔罗斯蒙古族自治县,前郭尔罗斯
长岭县,长岭
乾安县,乾安
扶余市,扶余
洮北区,洮北
镇赉县,镇赉
通榆县,通榆
洮南市,洮南
大安市,大安
延吉市,延吉
图们市,图们
敦化市,敦化
珲春市,珲春
龙井市,龙井
和龙市,和龙
汪清县,汪清
安图县,安图
道里区,道里
南岗区,南岗
道外区,道外
平房区,平房
松北区,松北
香坊区,香坊
呼兰区,呼兰
阿城区,阿城
双城区,双城
依兰县,依兰
方正县,方正
宾县,宾
巴彦县,巴彦
木兰县,木兰
通河县,通河
延寿县,延寿
尚志市,尚志
五常市,五常
龙沙区,龙沙
建华区,建华
铁锋区,铁锋
昂昂溪区,昂昂溪
富拉尔基区,富拉尔基
碾子山区,碾子山
梅里斯达斡尔族区,梅里斯
龙江县,龙江
依安县,依安
泰来县,泰来
甘南县,甘南
富裕县,富裕
克山县,克山
克东县,克东
拜泉县,拜泉
讷河市,讷河
鸡冠区,鸡冠
恒山区,恒山
滴道区,滴道
梨树区,梨树
城子河区,城子河
麻山区,麻山
鸡东县,鸡东
虎林市,虎林
密山市,密山
向阳区,向阳
工农区,工农
南山区,南山
兴安区,兴安
东山区,东山
兴山区,兴山
萝北县,萝北
绥滨县,绥滨
尖山区,尖山
岭东区,岭东
四方台区,四方台
宝山区,宝山
集贤县,集贤
友谊县,友谊
宝清县,宝清
饶河县,饶河
萨尔图区,萨尔图
龙凤区,龙凤
让胡路区,让胡路
红岗区,红岗
大同区,大同
肇州县,肇州
肇源县,肇源
林甸县,林甸
杜尔伯特蒙古族自治县,杜尔伯特
伊美区,伊美
乌翠区,乌翠
友好区,友好
嘉荫县,嘉荫
汤旺县,汤旺
丰林县,丰林
大箐山县,大箐山
南岔县,南岔
金林区,金林
铁力市,铁力
向阳区,向阳
前进区,前进
东风区,东风
郊区
桦南县,桦南
桦川县,桦川
汤原县,汤原
同江市,同江
富锦市,富锦
抚远市,抚远
新兴区,新兴
桃山区,桃山
茄子河区,茄子河
勃利县,勃利
东安区,东安
阳明区,阳明
爱民区,爱民
西安区,西安
林口县,林口
绥芬河市,绥芬河
海林市,海林
宁安市,宁安
穆棱市,穆棱
东宁市,东宁
爱辉区,爱辉
逊克县,逊克
孙吴县,孙吴
北安市,北安
五大连池市,五大连池
嫩江市,嫩江
北林区,北林
望奎县,望奎
兰西县,兰西
青冈县,青冈
庆安县,庆安
明水县,明水
绥棱县,绥棱
安达市,安达
肇东市,肇东
海伦市,海伦
漠河市,漠河
呼玛县,呼玛
塔河县,塔河
黄浦区,黄浦
徐汇区,徐汇
长宁区,长宁
静安区,静安
普陀区,普陀
虹口区,虹口
杨浦区,杨浦
闵行区,闵行
宝山区,宝山
嘉定区,嘉定
浦东新区,浦东
金山区,金山
松江区,松江
青浦区,青浦
奉贤区,奉贤
崇明区,崇明
玄武区,玄武
秦淮区,秦淮
建邺区,建邺
鼓楼区,鼓楼
浦口区,浦口
栖霞区,栖霞
雨花台区,雨花台
江宁区,江宁
六合区,六合
溧水区,溧水
高淳区,高淳
锡山区,锡山
惠山区,惠山
滨湖区,滨湖
梁溪区,梁溪
新吴区,新吴
江阴市,江阴
宜兴市,宜兴
鼓楼区,鼓楼
云龙区,云龙
贾汪区,贾汪
泉山区,泉山
铜山区,铜山
丰县,丰
沛县,沛
睢宁县,睢宁
新沂市,新沂
邳州市,邳州
天宁区,天宁
钟楼区,钟楼
新北区,新北
武进区,武进
金坛区,金坛
溧阳市,溧阳
虎丘区,虎丘
吴中区,吴中
相城区,相城
姑苏区,姑苏
吴江区,吴江
常熟市,常熟
张家港市,张家港
昆山市,昆山
太仓市,太仓
通州区,通州
崇川区,崇川
海门区,海门
如东县,如东
启东市,启东
如皋市,如皋
海安市,海安
连云区,连云
海州区,海州
赣榆区,赣榆
东海县,东海
灌云县,灌云
灌南县,灌南
淮安区,淮安
淮阴区,淮阴
清江浦区,清江浦
洪泽区,洪泽
涟水县,涟水
盱眙县,盱眙
金湖县,金湖
亭湖区,亭湖
盐都区,盐都
大丰区,大丰
响水县,响水
滨海县,滨海
阜宁县,阜宁
射阳县,射阳
建湖县,建湖
东台市,东台
广陵区,广陵
邗江区,邗江
江都区,江都
宝应县,宝应
仪征市,仪征
高邮市,高邮
京口区,京口
润州区,润州
丹徒区,丹徒
丹阳市,丹阳
扬中市,扬中
句容市,句容
海陵区,海陵
高港区,高港
姜堰区,姜堰
兴化市,兴化
靖江市,靖江
泰兴市,泰兴
